"","Date reported to Alberta Health","Number of lab tests","Cumulative number of lab tests","Number of cases","Cumulative number of cases","Active cases","Currently hospitalized","Currently in ICU","Cumulative number of deaths","Number of deaths","Number of variants of concern","Percent positivity"
"1",2020-03-06,60,511,1,1,1,0,0,0,0,0,5
"2",2020-03-07,281,792,0,0,1,0,0,0,0,0,0
"3",2020-03-08,454,1246,0,0,1,0,0,0,0,0,0
"4",2020-03-09,643,1889,6,7,7,1,0,0,0,0,1.71
"5",2020-03-10,784,2673,9,16,16,1,0,0,0,0,1.91
"6",2020-03-11,1334,4007,7,23,23,1,0,0,0,0,0.6
"7",2020-03-12,1147,5154,3,26,26,2,1,0,0,0,0.26
"8",2020-03-13,1587,6741,8,34,34,5,2,0,0,0,1.2
"9",2020-03-14,1555,8296,22,56,55,5,2,0,0,0,1.93
"10",2020-03-15,1834,10130,11,67,66,5,2,0,0,0,0.87
"11",2020-03-16,1485,11615,24,91,90,6,2,0,0,0,2.63
"12",2020-03-17,2083,13698,11,102,101,7,3,0,0,0,0.48
"13",2020-03-18,2878,16576,29,131,128,12,3,1,1,0,1.88
"14",2020-03-19,2869,19445,32,163,159,15,8,1,0,0,1.67
"15",2020-03-20,3593,23038,47,210,203,16,9,1,0,0,1.64
"16",2020-03-21,3507,26545,35,245,237,19,10,1,0,0,1.17
"17",2020-03-22,2854,29399,47,292,277,20,10,1,0,0,1.26
"18",2020-03-23,2728,32127,53,345,324,22,10,1,0,0,1.65
"19",2020-03-24,3143,35270,68,413,384,29,11,1,0,0,1.81
"20",2020-03-25,1645,36915,63,476,439,33,11,1,0,0,3.65
"21",2020-03-26,1316,38231,53,529,480,34,11,1,0,0,2.74
"22",2020-03-27,3697,41928,85,614,543,35,13,1,0,0,2.41
"23",2020-03-28,2145,44073,54,668,562,38,14,1,0,0,2
"24",2020-03-29,1929,46002,34,702,566,41,15,5,4,0,0.98
"25",2020-03-30,2549,48551,40,742,562,43,17,10,5,0,1.18
"26",2020-03-31,4770,53321,132,874,657,43,18,11,1,0,2.56
"27",2020-04-01,3610,56931,108,982,714,42,20,12,1,0,2.3
"28",2020-04-02,4009,60940,122,1104,790,43,20,15,3,0,2.34
"29",2020-04-03,1723,62663,71,1175,806,45,19,18,3,0,2.44
"30",2020-04-04,1807,64470,60,1235,803,47,20,23,5,0,2.6
"31",2020-04-05,1185,65655,42,1277,781,44,20,25,2,0,3.21
"32",2020-04-06,941,66596,34,1311,729,45,18,28,3,0,2.66
"33",2020-04-07,1705,68301,53,1364,707,46,16,28,0,0,2.29
"34",2020-04-08,1288,69589,33,1397,668,49,16,32,4,0,2.17
"35",2020-04-09,2291,71880,45,1442,625,50,15,36,4,0,1.48
"36",2020-04-10,2851,74731,49,1491,590,52,15,40,4,0,1.4
"37",2020-04-11,2240,76971,65,1556,576,52,15,45,5,0,2.14
"38",2020-04-12,2305,79276,68,1624,594,50,15,45,0,0,2.52
"39",2020-04-13,2136,81412,68,1692,617,49,14,48,3,0,2.76
"40",2020-04-14,2572,83984,127,1819,698,48,15,48,0,0,4.67
"41",2020-04-15,3092,87076,133,1952,765,55,12,50,2,0,3.85
"42",2020-04-16,3099,90175,146,2098,871,58,13,50,0,0,4.94
"43",2020-04-17,5238,95413,213,2311,1032,63,14,54,4,0,4.01
"44",2020-04-18,3800,99213,187,2498,1172,56,16,57,3,0,4.79
"45",2020-04-19,4370,103583,201,2699,1332,62,19,62,5,0,4.51
"46",2020-04-20,4009,107592,183,2882,1468,62,18,66,4,0,4.71
