"Local Code","Age Group","Population","# of population with at least 1 dose","Percent of population who received at least one dose","# of population fully immunized","Percent of population fully immunized","Alberta: percent of population who received at least one dose","Alberta: percent of population fully immunized","Local Name","Zone Name"
"Z1.1.A.01","12-19 years",486,288,59.2,234,48.1,76.3,64.5,"CROWSNEST PASS","SOUTH"
"Z1.1.A.01","12+ years",5615,4192,74.7,3782,67.4,83.2,74,"CROWSNEST PASS","SOUTH"
"Z1.1.A.01","20-39 years",1304,790,60.6,628,48.2,74.9,63.3,"CROWSNEST PASS","SOUTH"
"Z1.1.A.01","40-59 years",1622,1177,72.6,1070,66,83.2,75.6,"CROWSNEST PASS","SOUTH"
"Z1.1.A.01","60-74 years",1599,1393,87.1,1326,82.9,92,88.4,"CROWSNEST PASS","SOUTH"
"Z1.1.A.01","75+ years",604,527,87.3,514,85.2,92.4,90.6,"CROWSNEST PASS","SOUTH"
"Z1.1.A.01","ALL years",6280,4192,66.7,3782,60.2,70.8,62.9,"CROWSNEST PASS","SOUTH"
"Z1.1.A.02","12-19 years",779,551,70.8,415,53.3,76.3,64.5,"PINCHER CREEK","SOUTH"
"Z1.1.A.02","12+ years",7177,5728,79.8,5037,70.2,83.2,74,"PINCHER CREEK","SOUTH"
"Z1.1.A.02","20-39 years",1962,1381,70.4,1083,55.2,74.9,63.3,"PINCHER CREEK","SOUTH"
"Z1.1.A.02","40-59 years",1946,1531,78.7,1359,69.8,83.2,75.6,"PINCHER CREEK","SOUTH"
"Z1.1.A.02","60-74 years",1706,1496,87.7,1432,83.9,92,88.4,"PINCHER CREEK","SOUTH"
"Z1.1.A.02","75+ years",784,744,94.9,731,93.3,92.4,90.6,"PINCHER CREEK","SOUTH"
"Z1.1.A.02","ALL years",8344,5728,68.7,5037,60.4,70.8,62.9,"PINCHER CREEK","SOUTH"
"Z1.1.A.03","12-19 years",677,338,50,279,41.2,76.3,64.5,"FORT MACLEOD","SOUTH"
"Z1.1.A.03","12+ years",5553,3543,63.8,3139,56.5,83.2,74,"FORT MACLEOD","SOUTH"
"Z1.1.A.03","20-39 years",1696,807,47.6,657,38.7,74.9,63.3,"FORT MACLEOD","SOUTH"
"Z1.1.A.03","40-59 years",1458,971,66.6,845,57.9,83.2,75.6,"FORT MACLEOD","SOUTH"
"Z1.1.A.03","60-74 years",1196,974,81.5,926,77.4,92,88.4,"FORT MACLEOD","SOUTH"
"Z1.1.A.03","75+ years",526,444,84.4,426,80.9,92.4,90.6,"FORT MACLEOD","SOUTH"
"Z1.1.A.03","ALL years",6753,3543,52.5,3139,46.5,70.8,62.9,"FORT MACLEOD","SOUTH"
"Z1.1.B.04","12-19 years",2211,1515,68.5,1131,51.2,76.3,64.5,"CARDSTON-KAINAI","SOUTH"
"Z1.1.B.04","12+ years",13462,10236,76,8587,63.8,83.2,74,"CARDSTON-KAINAI","SOUTH"
"Z1.1.B.04","20-39 years",4130,2747,66.5,2082,50.4,74.9,63.3,"CARDSTON-KAINAI","SOUTH"
"Z1.1.B.04","40-59 years",3363,2671,79.4,2263,67.3,83.2,75.6,"CARDSTON-KAINAI","SOUTH"
"Z1.1.B.04","60-74 years",2501,2131,85.2,2026,81,92,88.4,"CARDSTON-KAINAI","SOUTH"
"Z1.1.B.04","75+ years",1258,1086,86.4,1037,82.5,92.4,90.6,"CARDSTON-KAINAI","SOUTH"
"Z1.1.B.04","ALL years",16595,10236,61.7,8587,51.7,70.8,62.9,"CARDSTON-KAINAI","SOUTH"
"Z1.2.A.01","12-19 years",3120,1478,47.4,1192,38.2,76.3,64.5,"COUNTY OF LETHBRIDGE","SOUTH"
"Z1.2.A.01","12+ years",20593,13483,65.5,11895,57.8,83.2,74,"COUNTY OF LETHBRIDGE","SOUTH"
"Z1.2.A.01","20-39 years",6985,3781,54.1,3076,44,74.9,63.3,"COUNTY OF LETHBRIDGE","SOUTH"
"Z1.2.A.01","40-59 years",5579,3949,70.8,3473,62.2,83.2,75.6,"COUNTY OF LETHBRIDGE","SOUTH"
"Z1.2.A.01","60-74 years",3586,3046,84.9,2959,82.5,92,88.4,"COUNTY OF LETHBRIDGE","SOUTH"
"Z1.2.A.01","75+ years",1323,1154,87.2,1147,86.7,92.4,90.6,"COUNTY OF LETHBRIDGE","SOUTH"
"Z1.2.A.01","ALL years",25820,13483,52.2,11895,46.1,70.8,62.9,"COUNTY OF LETHBRIDGE","SOUTH"
"Z1.2.B.02","12-19 years",2624,859,32.7,680,25.9,76.3,64.5,"TABER MD","SOUTH"
"Z1.2.B.02","12+ years",15123,8100,53.6,7017,46.4,83.2,74,"TABER MD","SOUTH"
"Z1.2.B.02","20-39 years",5108,1983,38.8,1546,30.3,74.9,63.3,"TABER MD","SOUTH"
"Z1.2.B.02","40-59 years",4114,2517,61.2,2172,52.8,83.2,75.6,"TABER MD","SOUTH"
"Z1.2.B.02","60-74 years",2299,1849,80.4,1763,76.7,92,88.4,"TABER MD","SOUTH"
"Z1.2.B.02","75+ years",977,853,87.3,830,84.9,92.4,90.6,"TABER MD","SOUTH"
"Z1.2.B.02","ALL years",19028,8100,42.6,7017,36.9,70.8,62.9,"TABER MD","SOUTH"
"Z1.2.C.03","12-19 years",1470,750,51,566,38.5,76.3,64.5,"COUNTY OF WARNER","SOUTH"
"Z1.2.C.03","12+ years",9027,5998,66.4,5084,56.3,83.2,74,"COUNTY OF WARNER","SOUTH"
"Z1.2.C.03","20-39 years",2664,1428,53.6,1080,40.5,74.9,63.3,"COUNTY OF WARNER","SOUTH"
"Z1.2.C.03","40-59 years",2283,1573,68.9,1328,58.2,83.2,75.6,"COUNTY OF WARNER","SOUTH"
"Z1.2.C.03","60-74 years",1821,1527,83.9,1418,77.9,92,88.4,"COUNTY OF WARNER","SOUTH"
"Z1.2.C.03","75+ years",790,681,86.2,665,84.2,92.4,90.6,"COUNTY OF WARNER","SOUTH"
"Z1.2.C.03","ALL years",11104,5998,54,5084,45.8,70.8,62.9,"COUNTY OF WARNER","SOUTH"
"Z1.2.C.04","12-19 years",867,198,22.8,142,16.4,76.3,64.5,"COUNTY OF FORTY MILE","SOUTH"
"Z1.2.C.04","12+ years",4936,2263,45.8,1927,39,83.2,74,"COUNTY OF FORTY MILE","SOUTH"
"Z1.2.C.04","20-39 years",1677,555,33.1,400,23.9,74.9,63.3,"COUNTY OF FORTY MILE","SOUTH"
"Z1.2.C.04","40-59 years",1218,623,51.1,550,45.1,83.2,75.6,"COUNTY OF FORTY MILE","SOUTH"
"Z1.2.C.04","60-74 years",830,603,72.7,563,67.8,92,88.4,"COUNTY OF FORTY MILE","SOUTH"
"Z1.2.C.04","75+ years",345,277,80.4,266,77.2,92.4,90.6,"COUNTY OF FORTY MILE","SOUTH"
"Z1.2.C.04","ALL years",6409,2263,35.3,1927,30.1,70.8,62.9,"COUNTY OF FORTY MILE","SOUTH"
"Z1.3.A.01","12-19 years",3267,1831,56,1415,43.3,76.3,64.5,"NEWELL","SOUTH"
"Z1.3.A.01","12+ years",23101,16409,71,13964,60.4,83.2,74,"NEWELL","SOUTH"
"Z1.3.A.01","20-39 years",7813,4919,63,3833,49.1,74.9,63.3,"NEWELL","SOUTH"
"Z1.3.A.01","40-59 years",7356,5502,74.8,4790,65.1,83.2,75.6,"NEWELL","SOUTH"
"Z1.3.A.01","60-74 years",3412,2976,87.2,2808,82.3,92,88.4,"NEWELL","SOUTH"
"Z1.3.A.01","75+ years",1253,1101,87.9,1070,85.4,92.4,90.6,"NEWELL","SOUTH"
"Z1.3.A.01","ALL years",27753,16409,59.1,13964,50.3,70.8,62.9,"NEWELL","SOUTH"
"Z1.3.B.02","12-19 years",328,160,48.8,109,33.2,76.3,64.5,"OYEN","SOUTH"
"Z1.3.B.02","12+ years",2972,1979,66.6,1691,56.9,83.2,74,"OYEN","SOUTH"
